Node,Group,State,criminal_activities,drug_trafficking,armed_conflicts,nonviolent_presence,action_guber
N10001,ACME,Ciudad de México,1,1,0,0,0
N10002,Banda de El Perro,Ciudad de México,0,0,0,0,0
N10003,Caballeros Templarios,Colima,1,0,0,0,0
N10004,Cártel de Caborca,Sonora,1,1,1,0,0
N10005,Cártel de Juárez,Chihuahua,0,0,1,0,0
N10006,Cártel de Los Alemanes,San Luis Potosí,0,0,1,0,0
N10007,Cártel de Los Arellano Félix,Querétaro,0,0,1,0,1
N10008,Cártel de los Beltrán Leyva,Ciudad de México,1,1,1,0,0
N10009,Cártel de Los Pantoja Parada,Oaxaca,0,0,0,0,0
N10010,Cártel de Los Tequileros,Guerrero,0,0,1,0,0
N10011,Cártel de Oaxaca,Yucatán,0,1,0,0,0
N10012,Cártel de Santa Rosa de Lima,Yucatán,0,0,1,0,1
N10013,Cártel de Sinaloa,Durango,0,0,0,0,0
N10014,Cártel de Telpacatepec,Michoacán,0,0,1,1,0
N10015,Cártel de Tláhuac,Ciudad de México,0,0,0,0,0
N10016,Cártel del Abuelo,Michoacán,0,1,0,0,0
N10017,Cártel del Golfo,Quintana Roo,0,0,1,0,0
N10018,Cártel del Golfo Nueva Era,Tamaulipas,0,0,0,0,0
N10019,Cártel del Noreste,Campeche,0,0,1,0,0
N10020,Cártel del Poniente o La Laguna,Chihuahua,0,1,1,0,0
N10021,Cártel del Siglo,Veracruz,1,0,1,0,0
N10022,Cártel del Sur,Guerrero,0,0,1,0,0
N10023,Cártel en Nochistlán,Zacatecas,1,1,0,0,0
N10024,Cártel Independiente de Acapulco,Guerrero,0,0,1,0,0
N10025,Cártel Jalisco Nueva Generación (CJNG),Jalisco,1,0,1,0,0
N10026,Cártel Los Epitacio,Yucatán,0,0,0,0,0
N10027,Cártel Nueva Plaza,Guanajuato,0,1,0,0,0
N10028,Cártel Pura Gente Nueva,Campeche,1,0,1,0,0
N10029,Cártel San Luis Potosí Nueva Generación (CSLPNG),San Luis Potosí,1,0,0,0,1
N10030,Cártel Tijuana Nueva Generación,Baja California,0,0,1,0,1
N10031,Cártel Zicuirán Nueva Generación,Michoacán,0,0,0,0,1
N10032,Cárteles Unidos,Veracruz,0,1,1,0,0
N10033,"Célula liderada por Alfonso Arzate García, El Aquiles",Baja California,0,1,0,1,0
N10034,Célula liderada por El Balín,Ciudad de México,0,0,1,0,0
N10035,CJNG Comando la Mancha,Baja California,1,1,1,0,0
N10036,Comandante Coronavirus,Quintana Roo,0,0,1,0,0
N10037,Durangos/Cazadores,Sonora,0,0,1,0,0
N10038,Ejército Revolucionario del Pueblo Insurgente (ERPI),Guerrero,0,0,0,0,0
N10039,El Araña,Ciudad de México,0,0,0,0,0
N10040,El Cano,Ciudad de México,0,0,1,0,0
N10041,El Chepe,Ciudad de México,0,0,1,0,0
N10042,El Espárragos,Ciudad de México,1,1,0,0,0
N10043,El H,Ciudad de México,1,1,0,0,0
N10044,El Jardinero,Nayarit,1,1,0,0,0
N10045,El Loco Téllez,Puebla,0,0,0,0,0
N10046,El Nopa,Ciudad de México,1,1,1,0,0
